Interchange_Name,Highway_Name,Mile_Marker,Latitude,Longitude,Permalink
IC_S26_40,IN-26,40,40.4175412864461,-86.82056932024621,https://www.waze.com/editor?env=usa&lat=40.4175412864461&lon=-86.82056932024621&zoom=5
IC_U31_124,US-31,124,39.94152559239406,-86.15756230412615,https://www.waze.com/editor?env=usa&lat=39.94152559239406&lon=-86.15756230412615&zoom=5
IC_S28_79,IN-28,79,40.27504050072744,-86.1269162687204,https://www.waze.com/editor?env=usa&lat=40.27504050072744&lon=-86.1269162687204&zoom=5
IC_U31_128,US-31,128,39.984516996370864,-86.14186624326226,https://www.waze.com/editor?env=usa&lat=39.984516996370864&lon=-86.14186624326226&zoom=5
IC_U31_127,US-31,127,39.97783879841173,-86.15724826504726,https://www.waze.com/editor?env=usa&lat=39.97783879841173&lon=-86.15724826504726&zoom=5
IC_S1_16,IN-1,16,39.27842150556749,-84.96043815119226,https://www.waze.com/editor?env=usa&lat=39.27842150556749&lon=-84.96043815119226&zoom=5
IC_U31_225,US-31,225,41.34961066564623,-86.27356194786825,https://www.waze.com/editor?env=usa&lat=41.34961066564623&lon=-86.27356194786825&zoom=5
IC_U35_43,US-35,43,40.178400309143775,-85.33634340250254,https://www.waze.com/editor?env=usa&lat=40.178400309143775&lon=-85.33634340250254&zoom=5
IC_U35_44,US-35,44,40.192875163981796,-85.33615124455949,https://www.waze.com/editor?env=usa&lat=40.192875163981796&lon=-85.33615124455949&zoom=5
IC_U35_47,US-35,47,40.23912146422665,-85.35660139494865,https://www.waze.com/editor?env=usa&lat=40.23912146422665&lon=-85.35660139494865&zoom=5
IC_U35_48,US-35,48,40.244660534143925,-85.36619129570728,https://www.waze.com/editor?env=usa&lat=40.244660534143925&lon=-85.36619129570728&zoom=5
IC_U31_191,US-31,191,40.771966953749896,-86.12816351253458,https://www.waze.com/editor?env=usa&lat=40.771966953749896&lon=-86.12816351253458&zoom=5
IC_U31_190,US-31,190,40.75164486314478,-86.12747816301045,https://www.waze.com/editor?env=usa&lat=40.75164486314478&lon=-86.12747816301045&zoom=5
IC_U31_129,US-31,129,40.00012632109598,-86.1265184168469,https://www.waze.com/editor?env=usa&lat=40.00012632109598&lon=-86.1265184168469&zoom=5
IC_U31_156,US-31,156,40.395036761163276,-86.12581095712193,https://www.waze.com/editor?env=usa&lat=40.395036761163276&lon=-86.12581095712193&zoom=5
IC_U31_167,US-31,167,40.54223950323716,-86.12591159430346,https://www.waze.com/editor?env=usa&lat=40.54223950323716&lon=-86.12591159430346&zoom=5
IC_U31_158,US-31,158,40.41926584172093,-86.09212671607563,https://www.waze.com/editor?env=usa&lat=40.41926584172093&lon=-86.09212671607563&zoom=5
IC_U31_162,US-31,162,40.47679144943337,-86.08389088437464,https://www.waze.com/editor?env=usa&lat=40.47679144943337&lon=-86.08389088437464&zoom=5
IC_U31_203,US-31,203,41.04606240645358,-86.21947701224941,https://www.waze.com/editor?env=usa&lat=41.04606240645358&lon=-86.21947701224941&zoom=5
